Title,Studio,TotalGross,release,end
Get Hard,WB,78.85,27.3.2015,NA
Marvel's The Avengers,BV,623.36,5.4.2012,10.4.2013
The Divergent Series: Insurgent,LG/S,120.86,20.2.2015,NA
Man of Steel,WB,291.05,14.6.2013,19.9.2014
Madagascar 3: Europe's Most Wanted,P/DW,216.39,6.8.2012,18.10.2012
Iron Man 3,BV,409.01,5.3.2013,9.12.2013
American Sniper,WB,347.8,25.12.2014,NA
Skyfall,Sony,304.36,11.9.2012,3.10.2013
Frozen,BV,400.74,22.11.2013,17.7.2014
The Hobbit: The Desolation of Smaug,WB,258.37,13.12.2013,17.4.2014
The Twilight Saga: Breaking Dawn Part 2,LG/S,292.32,16.11.2012,3.7.2013
Transformers: Age of Extinction,Par.,245.44,27.6.2014,10.9.2014
The SpongeBob Movie: Sponge Out of Water,Par.,161.73,6.2.2015,NA
Home (2015),Fox,143.6,27.3.2015,NA
Monsters University,BV,268.49,21.6.2013,19.12.2013
The Amazing Spider-Man,Sony,262.03,7.3.2012,14.10.2012
Taken 3,Fox,89.17,1.9.2015,NA
Fifty Shades of Grey,Uni.,165.97,13.2.2015,NA
X-Men: Days of Future Past,Fox,233.92,23.5.2014,10.9.2014
The Hunger Games: Catching Fire,LGF,424.67,22.11.2013,4.3.2014
Captain America: The Winter Soldier,BV,259.77,4.4.2014,21.8.2014
The Hunger Games,LGF,408.01,23.3.2012,9.6.2012
Kingsman: The Secret Service,Fox,125.72,13.2.2015,NA
Big Hero 6,BV,222.4,11.7.2014,NA
The LEGO Movie,WB,257.76,2.7.2014,9.4.2015
Oz The Great and Powerful,BV,234.91,3.8.2013,18.7.2014
Ted,Uni.,218.82,29.6.2012,25.10.2012
The Hobbit: The Battle of the Five Armies,WB,255.12,17.12.2014,4.2.2015
Maleficent,BV,241.41,30.5.2014,12.4.2015
Gravity,WB,274.09,10.4.2013,5.8.2013
Fast & Furious 6,Uni.,238.68,24.5.2013,9.5.2014
Guardians of the Galaxy,BV,333.18,8.1.2014,22.1.2015
Paddington,W/Dim.,75.49,16.1.2015,NA
Despicable Me 2,Uni.,368.06,7.3.2013,16.1.2014
The Dark Knight Rises,WB,448.14,20.7.2012,13.12.2012
The Hunger Games: Mockingjay - Part 1,LGF,337.14,21.11.2014,19.3.2015
Cinderella (2015),BV,186.81,13.3.2015,NA
The Hobbit: An Unexpected Journey,WB,303,14.12.2012,25.4.2013
Furious 7,Uni.,296.53,4.3.2015,NA
Brave,BV,237.28,22.6.2012,17.1.2013
